City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Ekhabi,RU,2022-04-15 08:35:07,53.5102,142.9671,29.17,80,6,6.42
207,Saint-Philippe,RE,2022-04-15 08:35:07,-21.3585,55.7679,85.21,81,38,14.54
208,Port Macquarie,AU,2022-04-15 08:31:31,-31.4333,152.9167,65.89,71,5,4.38
209,Inhambane,MZ,2022-04-15 08:35:08,-23.865,35.3833,84.18,84,75,0.0
210,Pisco,PE,2022-04-15 08:35:08,-13.7,-76.2167,61.02,88,0,9.22
211,Templin,DE,2022-04-15 08:35:09,53.1186,13.5022,49.17,95,100,9.4
212,Hasaki,JP,2022-04-15 08:35:09,35.7333,140.8333,52.2,89,100,28.03
213,Castro,BR,2022-04-15 08:35:09,-24.7911,-50.0119,52.21,80,95,4.25
214,Vostok,RU,2022-04-15 08:35:10,46.4856,135.8833,34.65,67,13,0.72
215,Port-Gentil,GA,2022-04-15 08:32:45,-0.7193,8.7815,80.37,80,100,5.95
216,Ugoofaaru,MV,2022-04-15 08:35:10,5.6667,73.0,84.92,69,1,5.97
217,Acapulco,MX,2022-04-15 08:31:32,16.8634,-99.8901,75.02,83,40,3.44
218,Leh,IN,2022-04-15 08:35:10,34.1667,77.5833,44.49,36,98,5.28
219,San Juan,AR,2022-04-15 08:35:11,-31.5375,-68.5364,60.35,57,6,4.38
220,Bambous Virieux,MU,2022-04-15 08:35:11,-20.3428,57.7575,83.21,65,40,14.97
221,Havelock,US,2022-04-15 08:35:11,34.8791,-76.9013,64.35,76,75,20.71
222,Payson,US,2022-04-15 08:31:07,40.0444,-111.7321,46.81,60,75,5.99
223,Manggar,ID,2022-04-15 08:35:12,-2.8833,108.2667,84.04,70,89,4.03
224,Muriwai Beach,NZ,2022-04-15 08:35:12,-36.8167,174.45,60.42,83,0,2.21
225,Labuhan,ID,2022-04-15 08:35:13,-6.8844,112.2051,85.6,67,7,6.69
226,Praia,CV,2022-04-15 08:35:13,14.9215,-23.5087,68.54,73,20,13.8
227,Pokhara,NP,2022-04-15 08:35:14,28.2333,83.9833,94.08,11,48,4.38
228,Kafanchan,NG,2022-04-15 08:36:14,9.5833,8.3,82.96,56,93,6.85
229,Senneterre,CA,2022-04-15 08:36:14,48.3835,-77.2328,27.12,94,32,5.77
230,Kemi,FI,2022-04-15 08:36:15,65.8596,24.8228,38.97,52,0,11.5
231,Narsaq,GL,2022-04-15 08:36:15,60.9167,-46.05,30.42,89,100,5.53
232,Puerto Leguizamo,CO,2022-04-15 08:36:16,-0.1934,-74.7819,71.29,98,99,1.99
233,Omboue,GA,2022-04-15 08:36:16,-1.5746,9.2618,83.7,72,100,3.74
234,Ewa Beach,US,2022-04-15 08:36:16,21.3156,-158.0072,75.15,67,0,11.5
