City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Clyde River,CA,70.4692,-68.5914,-14.57,76,0,5.75,clear sky
107,Port Alfred,ZA,-33.5906,26.891,58.89,71,80,5.66,broken clouds
108,Maceio,BR,-9.6658,-35.7353,78.24,83,20,3.44,few clouds
109,Stolin,BY,51.8912,26.846,43.02,92,100,12.8,light rain
110,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,56,0,12.66,clear sky
111,Kerrville,US,30.0474,-99.1403,74.91,81,60,1.99,broken clouds
112,Gigmoto,PH,13.7796,124.39,84.72,63,61,4.43,broken clouds
113,Grindavik,IS,63.8424,-22.4338,46.9,93,100,37.98,light intensity drizzle
114,Airai,TL,-8.9266,125.4092,74.07,65,47,1.23,scattered clouds
115,Wrexham,GB,53.0,-3.0,50.05,96,52,4.07,broken clouds
116,Arraial Do Cabo,BR,-22.9661,-42.0278,72.23,69,3,20.98,clear sky
117,Butaritari,KI,3.0707,172.7902,81.81,73,39,10.76,scattered clouds
118,Jati,PK,24.3539,68.2671,83.53,61,0,15.66,clear sky
119,Lorengau,PG,-2.0226,147.2712,84.67,71,34,5.7,scattered clouds
120,Sitka,US,57.0531,-135.33,46.29,61,40,14.97,scattered clouds
121,Albany,US,42.6001,-73.9662,57.61,47,75,8.01,broken clouds
122,Matay,EG,28.419,30.7792,62.78,42,2,9.78,clear sky
123,Chuy,UY,-33.6971,-53.4616,60.48,70,78,6.42,broken clouds
124,Munster,DE,51.9624,7.6257,47.14,100,20,2.3,fog
125,Darnah,LY,32.767,22.6367,60.55,82,97,12.86,overcast clouds
126,Saurimo,AO,-9.6608,20.3916,64.09,97,100,2.66,overcast clouds
127,Miyako,JP,39.6367,141.9525,41.65,81,100,11.99,overcast clouds
128,Ribeira Grande,PT,38.5167,-28.7,59.4,82,75,9.22,light intensity shower rain
129,Ashland,US,40.8167,-82.2665,57.27,60,100,18.45,overcast clouds
130,Lompoc,US,34.6391,-120.4579,57.34,86,100,17.0,overcast clouds
131,Luderitz,NA,-26.6481,15.1594,58.71,58,0,13.15,clear sky
132,Ulaangom,MN,49.9811,92.0667,42.98,27,6,3.11,clear sky
133,Avarua,CK,-21.2078,-159.775,82.45,78,75,8.05,broken clouds
134,Flinders,AU,-34.5833,150.8552,75.18,71,57,4.0,broken clouds
135,Waggaman,US,29.9185,-90.2109,75.2,75,75,9.22,broken clouds
136,Ixtapa,MX,20.7,-105.2,74.23,84,100,1.99,overcast clouds
137,Palembang,ID,-2.9167,104.7458,82.49,83,20,5.75,few clouds
138,Gambat,PK,27.3515,68.5205,71.69,10,9,5.48,clear sky
139,Nilopolis,BR,-22.8075,-43.4139,71.28,77,20,9.22,few clouds
140,Belmonte,BR,-15.8631,-38.8828,76.21,93,100,12.62,light rain
141,Vardo,NO,70.3705,31.1107,36.03,91,100,21.43,overcast clouds
142,Forquilhinha,BR,-28.7475,-49.4722,56.71,80,36,2.95,scattered clouds
143,Zlitan,LY,32.4674,14.5687,61.07,90,47,14.12,scattered clouds
144,Sahbuz,AZ,39.4072,45.5739,40.6,63,100,5.61,overcast clouds
145,Ostrovnoy,RU,68.0531,39.5131,18.14,93,76,9.08,broken clouds
146,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,88,18,3.76,few clouds
147,Saskylakh,RU,71.9167,114.0833,4.1,90,45,9.37,scattered clouds
148,Varna,BG,43.2167,27.9167,51.44,88,10,0.0,clear sky
149,Laguna,US,38.421,-121.4238,66.4,47,75,12.66,broken clouds
150,Nanortalik,GL,60.1432,-45.2371,27.09,80,92,10.07,overcast clouds
151,Ancud,CL,-41.8697,-73.8203,54.23,92,10,4.25,clear sky
152,Puerto El Triunfo,SV,13.2833,-88.55,82.56,76,85,6.76,overcast clouds
153,Nokha,IN,27.6,73.4167,85.32,31,0,11.32,clear sky
154,Morehead,US,37.2711,-87.1764,58.98,66,100,9.22,light rain
155,Sungaipenuh,ID,-2.0833,101.3833,74.8,68,99,1.72,overcast clouds
